,# AUTORIZACION,FECHA PROGRAMACIÓN DE SERVICIO,HORA PROGRAMACIÓN SERVICIO,DEPARTAMENTO
1,6239030,2026-01-01,19:30:00,ANTIOQUIA
5,6239041,2026-01-01,20:05:00,ANTIOQUIA
6,6239038,2026-01-01,5:00:00,ANTIOQUIA
7,6239042,2026-01-01,22:30:00,ANTIOQUIA
12,6239052,2026-01-01,12:00:00,ANTIOQUIA
13,6239055,2026-01-01,7:00:00,ANTIOQUIA
17,6239059,2026-01-01,8:30:00,ANTIOQUIA
18,6239060,2026-01-01,9:15:00,ANTIOQUIA
19,6239061,2026-01-01,9:30:00,CUNDINAMARCA
27,6239077,2026-01-01,22:40:00,ANTIOQUIA
32,6239085,2026-01-01,11:25:00,ANTIOQUIA
34,6239091,2026-01-01,15:30:00,ANTIOQUIA
43,6239109,2026-01-01,13:15:00,ANTIOQUIA
44,6239104,2026-01-01,18:00:00,CUNDINAMARCA
47,6239115,2026-01-02,4:00:00,ANTIOQUIA
49,6239117,2026-01-01,18:30:00,ANTIOQUIA
50,6239118,2026-01-01,19:00:00,ANTIOQUIA
51,6239120,2026-01-01,18:30:00,ANTIOQUIA
52,6239122,2026-01-01,16:00:00,CUNDINAMARCA
53,6239119,2026-01-01,19:00:00,CUNDINAMARCA
60,6239135,2026-01-01,16:00:00,ANTIOQUIA
63,6239141,2026-01-01,17:00:00,ANTIOQUIA
66,6239146,2026-01-01,20:00:00,CUNDINAMARCA
69,6239149,2026-01-01,18:00:00,CUNDINAMARCA
72,6239151,2026-01-02,0:00:00,ANTIOQUIA
74,6239154,2026-01-01,17:00:00,CUNDINAMARCA
78,6239157,2026-01-01,22:15:00,CUNDINAMARCA
92,6239176,2026-01-01,22:00:00,CUNDINAMARCA
93,6239183,2026-01-01,22:30:00,CUNDINAMARCA
109,6239220,2026-01-01,18:00:00,CUNDINAMARCA
112,6239223,2026-01-01,20:00:00,ANTIOQUIA
115,6239228,2026-01-01,22:00:00,ANTIOQUIA
118,6239236,2026-01-01,21:00:00,ANTIOQUIA
121,6239239,2026-01-01,22:00:00,CUNDINAMARCA
123,6239244,2026-01-01,19:30:00,CUNDINAMARCA
124,6239243,2026-01-01,19:00:00,ANTIOQUIA
132,6239250,2026-01-10,19:00:00,CUNDINAMARCA
136,6239262,2026-01-01,20:30:00,CUNDINAMARCA
138,6239264,2026-01-01,22:00:00,CUNDINAMARCA
140,6239265,2026-01-01,22:00:00,ANTIOQUIA
141,6239267,2026-01-01,23:10:00,CUNDINAMARCA
